cell_type,annotation_name,term_order,unique_identifier,color,alias,parent_term
CR Glut_2,subcluster,43,CS20260131_SCLU_043,#9c9ede,CR Glut_2,CR Glut
CR Glut_3,subcluster,44,CS20260131_SCLU_044,#637939,CR Glut_3,CR Glut
CR Glut_4,subcluster,45,CS20260131_SCLU_045,#8ca252,CR Glut_4,CR Glut
CR Glut_5,subcluster,46,CS20260131_SCLU_046,#b5cf6b,CR Glut_5,CR Glut
RG_1,subcluster,47,CS20260131_SCLU_047,#74c476,RG_1,RG
RG_2,subcluster,48,CS20260131_SCLU_048,#a1d99b,RG_2,RG
RG_3,subcluster,49,CS20260131_SCLU_049,#c7e9c0,RG_3,RG
RG_4,subcluster,50,CS20260131_SCLU_050,#756bb1,RG_4,RG
RG_5,subcluster,51,CS20260131_SCLU_051,#9e9ac8,RG_5,RG
RG_6,subcluster,52,CS20260131_SCLU_052,#bcbddc,RG_6,RG
RG_7,subcluster,53,CS20260131_SCLU_053,#dadaeb,RG_7,RG
RG_8,subcluster,54,CS20260131_SCLU_054,#636363,RG_8,RG
RG_9,subcluster,55,CS20260131_SCLU_055,#969696,RG_9,RG
RG_10,subcluster,56,CS20260131_SCLU_056,#bdbdbd,RG_10,RG
RG_11,subcluster,57,CS20260131_SCLU_057,#d9d9d9,RG_11,RG
RG_12,subcluster,58,CS20260131_SCLU_058,#393b79,RG_12,RG
RG_13,subcluster,59,CS20260131_SCLU_059,#5254a3,RG_13,RG
RG_14,subcluster,60,CS20260131_SCLU_060,#6b6ecf,RG_14,RG
RG_15,subcluster,61,CS20260131_SCLU_061,#9c9ede,RG_15,RG
RG_16,subcluster,62,CS20260131_SCLU_062,#637939,RG_16,RG
RG_17,subcluster,63,CS20260131_SCLU_063,#8ca252,RG_17,RG
RG_18,subcluster,64,CS20260131_SCLU_064,#b5cf6b,RG_18,RG
RG_19,subcluster,65,CS20260131_SCLU_065,#cedb9c,RG_19,RG
RG_20,subcluster,66,CS20260131_SCLU_066,#8c6d31,RG_20,RG
RG_21,subcluster,67,CS20260131_SCLU_067,#bd9e39,RG_21,RG
RG_22,subcluster,68,CS20260131_SCLU_068,#e7ba52,RG_22,RG
RG_23,subcluster,69,CS20260131_SCLU_069,#e7cb94,RG_23,RG
RG_24,subcluster,70,CS20260131_SCLU_070,#843c39,RG_24,RG
RG_25,subcluster,71,CS20260131_SCLU_071,#ad494a,RG_25,RG
RG_26,subcluster,72,CS20260131_SCLU_072,#d6616b,RG_26,RG
RG_27,subcluster,73,CS20260131_SCLU_073,#e7969c,RG_27,RG
RG_28,subcluster,74,CS20260131_SCLU_074,#7b4173,RG_28,RG
RG_29,subcluster,75,CS20260131_SCLU_075,#a55194,RG_29,RG
RG_30,subcluster,76,CS20260131_SCLU_076,#ce6dbd,RG_30,RG
IP nonIT_1,subcluster,77,CS20260131_SCLU_077,#fdd0a2,IP nonIT_1,IP nonIT
IP nonIT_2,subcluster,78,CS20260131_SCLU_078,#31a354,IP nonIT_2,IP nonIT
IP nonIT_3,subcluster,79,CS20260131_SCLU_079,#74c476,IP nonIT_3,IP nonIT
IP nonIT_4,subcluster,80,CS20260131_SCLU_080,#a1d99b,IP nonIT_4,IP nonIT
IP nonIT_5,subcluster,81,CS20260131_SCLU_081,#c7e9c0,IP nonIT_5,IP nonIT
IP nonIT_6,subcluster,82,CS20260131_SCLU_082,#756bb1,IP nonIT_6,IP nonIT
IP nonIT_7,subcluster,83,CS20260131_SCLU_083,#9e9ac8,IP nonIT_7,IP nonIT
IP nonIT_8,subcluster,84,CS20260131_SCLU_084,#bcbddc,IP nonIT_8,IP nonIT
IP nonIT_9,subcluster,85,CS20260131_SCLU_085,#dadaeb,IP nonIT_9,IP nonIT
IP nonIT_10,subcluster,86,CS20260131_SCLU_086,#636363,IP nonIT_10,IP nonIT
IP nonIT_11,subcluster,87,CS20260131_SCLU_087,#969696,IP nonIT_11,IP nonIT
IP nonIT_12,subcluster,88,CS20260131_SCLU_088,#bdbdbd,IP nonIT_12,IP nonIT
IP nonIT_13,subcluster,89,CS20260131_SCLU_089,#d9d9d9,IP nonIT_13,IP nonIT
IP nonIT_14,subcluster,90,CS20260131_SCLU_090,#393b79,IP nonIT_14,IP nonIT
IP nonIT_15,subcluster,91,CS20260131_SCLU_091,#5254a3,IP nonIT_15,IP nonIT
IP nonIT_16,subcluster,92,CS20260131_SCLU_092,#6b6ecf,IP nonIT_16,IP nonIT
IP nonIT_17,subcluster,93,CS20260131_SCLU_093,#9c9ede,IP nonIT_17,IP nonIT
IP nonIT_18,subcluster,94,CS20260131_SCLU_094,#637939,IP nonIT_18,IP nonIT
IP nonIT_19,subcluster,95,CS20260131_SCLU_095,#8ca252,IP nonIT_19,IP nonIT
IP nonIT_20,subcluster,96,CS20260131_SCLU_096,#b5cf6b,IP nonIT_20,IP nonIT
IP nonIT_21,subcluster,97,CS20260131_SCLU_097,#cedb9c,IP nonIT_21,IP nonIT
IP nonIT_22,subcluster,98,CS20260131_SCLU_098,#8c6d31,IP nonIT_22,IP nonIT
IP IT_1,subcluster,99,CS20260131_SCLU_099,#3182bd,IP IT_1,IP IT
IP IT_2,subcluster,100,CS20260131_SCLU_100,#6baed6,IP IT_2,IP IT
IP IT_3,subcluster,101,CS20260131_SCLU_101,#9ecae1,IP IT_3,IP IT
IP IT_4,subcluster,102,CS20260131_SCLU_102,#c6dbef,IP IT_4,IP IT
IP IT_5,subcluster,103,CS20260131_SCLU_103,#e6550d,IP IT_5,IP IT
IP IT_6,subcluster,104,CS20260131_SCLU_104,#fd8d3c,IP IT_6,IP IT
IP IT_7,subcluster,105,CS20260131_SCLU_105,#fdae6b,IP IT_7,IP IT
IMN nonIT_1,subcluster,106,CS20260131_SCLU_106,#fd8d3c,IMN nonIT_1,IMN nonIT
IMN nonIT_2,subcluster,107,CS20260131_SCLU_107,#fdae6b,IMN nonIT_2,IMN nonIT
IMN nonIT_3,subcluster,108,CS20260131_SCLU_108,#fdd0a2,IMN nonIT_3,IMN nonIT
IMN nonIT_4,subcluster,109,CS20260131_SCLU_109,#31a354,IMN nonIT_4,IMN nonIT
IMN nonIT_5,subcluster,110,CS20260131_SCLU_110,#74c476,IMN nonIT_5,IMN nonIT
IMN nonIT_6,subcluster,111,CS20260131_SCLU_111,#a1d99b,IMN nonIT_6,IMN nonIT
IMN nonIT_7,subcluster,112,CS20260131_SCLU_112,#c7e9c0,IMN nonIT_7,IMN nonIT
IMN nonIT_8,subcluster,113,CS20260131_SCLU_113,#756bb1,IMN nonIT_8,IMN nonIT
IMN nonIT_9,subcluster,114,CS20260131_SCLU_114,#9e9ac8,IMN nonIT_9,IMN nonIT
IMN nonIT_10,subcluster,115,CS20260131_SCLU_115,#bcbddc,IMN nonIT_10,IMN nonIT
IMN nonIT_11,subcluster,116,CS20260131_SCLU_116,#dadaeb,IMN nonIT_11,IMN nonIT
IMN nonIT_12,subcluster,117,CS20260131_SCLU_117,#636363,IMN nonIT_12,IMN nonIT
IMN nonIT_13,subcluster,118,CS20260131_SCLU_118,#969696,IMN nonIT_13,IMN nonIT
IMN nonIT_14,subcluster,119,CS20260131_SCLU_119,#bdbdbd,IMN nonIT_14,IMN nonIT
IMN nonIT_15,subcluster,120,CS20260131_SCLU_120,#d9d9d9,IMN nonIT_15,IMN nonIT
IMN nonIT_16,subcluster,121,CS20260131_SCLU_121,#393b79,IMN nonIT_16,IMN nonIT
IMN nonIT_17,subcluster,122,CS20260131_SCLU_122,#5254a3,IMN nonIT_17,IMN nonIT
IMN nonIT_18,subcluster,123,CS20260131_SCLU_123,#6b6ecf,IMN nonIT_18,IMN nonIT
IMN nonIT_19,subcluster,124,CS20260131_SCLU_124,#9c9ede,IMN nonIT_19,IMN nonIT
IMN nonIT_20,subcluster,125,CS20260131_SCLU_125,#637939,IMN nonIT_20,IMN nonIT
IMN nonIT_21,subcluster,126,CS20260131_SCLU_126,#8ca252,IMN nonIT_21,IMN nonIT
IMN nonIT_22,subcluster,127,CS20260131_SCLU_127,#b5cf6b,IMN nonIT_22,IMN nonIT
IMN nonIT_23,subcluster,128,CS20260131_SCLU_128,#cedb9c,IMN nonIT_23,IMN nonIT
IMN nonIT_24,subcluster,129,CS20260131_SCLU_129,#8c6d31,IMN nonIT_24,IMN nonIT
IMN nonIT_25,subcluster,130,CS20260131_SCLU_130,#bd9e39,IMN nonIT_25,IMN nonIT
IMN nonIT_26,subcluster,131,CS20260131_SCLU_131,#e7ba52,IMN nonIT_26,IMN nonIT
IMN nonIT_27,subcluster,132,CS20260131_SCLU_132,#e7cb94,IMN nonIT_27,IMN nonIT
IMN nonIT_28,subcluster,133,CS20260131_SCLU_133,#843c39,IMN nonIT_28,IMN nonIT
IMN nonIT_29,subcluster,134,CS20260131_SCLU_134,#ad494a,IMN nonIT_29,IMN nonIT
IMN nonIT_30,subcluster,135,CS20260131_SCLU_135,#d6616b,IMN nonIT_30,IMN nonIT
IMN nonIT_31,subcluster,136,CS20260131_SCLU_136,#e7969c,IMN nonIT_31,IMN nonIT
IMN nonIT_32,subcluster,137,CS20260131_SCLU_137,#7b4173,IMN nonIT_32,IMN nonIT
IMN nonIT_33,subcluster,138,CS20260131_SCLU_138,#a55194,IMN nonIT_33,IMN nonIT
IMN nonIT_34,subcluster,139,CS20260131_SCLU_139,#ce6dbd,IMN nonIT_34,IMN nonIT
IMN nonIT_35,subcluster,140,CS20260131_SCLU_140,#de9ed6,IMN nonIT_35,IMN nonIT
IMN IT Deep Layer_1,subcluster,141,CS20260131_SCLU_141,#637939,IMN IT Deep Layer_1,IMN IT Deep Layer
IMN IT Deep Layer_2,subcluster,142,CS20260131_SCLU_142,#8ca252,IMN IT Deep Layer_2,IMN IT Deep Layer
IMN IT Deep Layer_3,subcluster,143,CS20260131_SCLU_143,#b5cf6b,IMN IT Deep Layer_3,IMN IT Deep Layer
IMN IT Deep Layer_4,subcluster,144,CS20260131_SCLU_144,#cedb9c,IMN IT Deep Layer_4,IMN IT Deep Layer
IMN IT Deep Layer_5,subcluster,145,CS20260131_SCLU_145,#8c6d31,IMN IT Deep Layer_5,IMN IT Deep Layer
IMN IT Deep Layer_6,subcluster,146,CS20260131_SCLU_146,#bd9e39,IMN IT Deep Layer_6,IMN IT Deep Layer
IMN IT Deep Layer_7,subcluster,147,CS20260131_SCLU_147,#e7ba52,IMN IT Deep Layer_7,IMN IT Deep Layer
IMN IT Deep Layer_8,subcluster,148,CS20260131_SCLU_148,#e7cb94,IMN IT Deep Layer_8,IMN IT Deep Layer
IMN IT Deep Layer_9,subcluster,149,CS20260131_SCLU_149,#843c39,IMN IT Deep Layer_9,IMN IT Deep Layer
IMN IT Deep Layer_10,subcluster,150,CS20260131_SCLU_150,#ad494a,IMN IT Deep Layer_10,IMN IT Deep Layer
IMN IT Upper Layer_1,subcluster,151,CS20260131_SCLU_151,#d6616b,IMN IT Upper Layer_1,IMN IT Upper Layer
IMN IT Upper Layer_2,subcluster,152,CS20260131_SCLU_152,#e7969c,IMN IT Upper Layer_2,IMN IT Upper Layer
IMN IT Upper Layer_3,subcluster,153,CS20260131_SCLU_153,#7b4173,IMN IT Upper Layer_3,IMN IT Upper Layer
IMN IT Upper Layer_4,subcluster,154,CS20260131_SCLU_154,#a55194,IMN IT Upper Layer_4,IMN IT Upper Layer
IMN IT Upper Layer_5,subcluster,155,CS20260131_SCLU_155,#ce6dbd,IMN IT Upper Layer_5,IMN IT Upper Layer
IMN IT Upper Layer_6,subcluster,156,CS20260131_SCLU_156,#de9ed6,IMN IT Upper Layer_6,IMN IT Upper Layer
IMN IT Upper Layer_7,subcluster,157,CS20260131_SCLU_157,#3182bd,IMN IT Upper Layer_7,IMN IT Upper Layer
IMN IT Upper Layer_8,subcluster,158,CS20260131_SCLU_158,#6baed6,IMN IT Upper Layer_8,IMN IT Upper Layer
IMN IT Upper Layer_9,subcluster,159,CS20260131_SCLU_159,#9ecae1,IMN IT Upper Layer_9,IMN IT Upper Layer
IMN IT Upper Layer_10,subcluster,160,CS20260131_SCLU_160,#c6dbef,IMN IT Upper Layer_10,IMN IT Upper Layer
IMN IT Upper Layer_11,subcluster,161,CS20260131_SCLU_161,#e6550d,IMN IT Upper Layer_11,IMN IT Upper Layer
421_L6b/CT ENT Glut_4_1,subcluster,162,CS20260131_SCLU_162,#8ca252,421_L6b/CT ENT Glut_4_1,421_L6b/CT ENT Glut_4
421_L6b/CT ENT Glut_4_2,subcluster,163,CS20260131_SCLU_163,#b5cf6b,421_L6b/CT ENT Glut_4_2,421_L6b/CT ENT Glut_4
421_L6b/CT ENT Glut_4_3,subcluster,164,CS20260131_SCLU_164,#cedb9c,421_L6b/CT ENT Glut_4_3,421_L6b/CT ENT Glut_4
421_L6b/CT ENT Glut_4_4,subcluster,165,CS20260131_SCLU_165,#8c6d31,421_L6b/CT ENT Glut_4_4,421_L6b/CT ENT Glut_4
421_L6b/CT ENT Glut_4_5,subcluster,166,CS20260131_SCLU_166,#bd9e39,421_L6b/CT ENT Glut_4_5,421_L6b/CT ENT Glut_4
421_L6b/CT ENT Glut_4_6,subcluster,167,CS20260131_SCLU_167,#e7ba52,421_L6b/CT ENT Glut_4_6,421_L6b/CT ENT Glut_4
421_L6b/CT ENT Glut_4_7,subcluster,168,CS20260131_SCLU_168,#e7cb94,421_L6b/CT ENT Glut_4_7,421_L6b/CT ENT Glut_4
421_L6b/CT ENT Glut_4_8,subcluster,169,CS20260131_SCLU_169,#843c39,421_L6b/CT ENT Glut_4_8,421_L6b/CT ENT Glut_4
421_L6b/CT ENT Glut_4_9,subcluster,170,CS20260131_SCLU_170,#ad494a,421_L6b/CT ENT Glut_4_9,421_L6b/CT ENT Glut_4
427_L6b CTX Glut_2_1,subcluster,171,CS20260131_SCLU_171,#d6616b,427_L6b CTX Glut_2_1,427_L6b CTX Glut_2
427_L6b CTX Glut_2_2,subcluster,172,CS20260131_SCLU_172,#e7969c,427_L6b CTX Glut_2_2,427_L6b CTX Glut_2
427_L6b CTX Glut_2_3,subcluster,173,CS20260131_SCLU_173,#7b4173,427_L6b CTX Glut_2_3,427_L6b CTX Glut_2
427_L6b CTX Glut_2_4,subcluster,174,CS20260131_SCLU_174,#a55194,427_L6b CTX Glut_2_4,427_L6b CTX Glut_2
427_L6b CTX Glut_2_5,subcluster,175,CS20260131_SCLU_175,#ce6dbd,427_L6b CTX Glut_2_5,427_L6b CTX Glut_2
427_L6b CTX Glut_2_6,subcluster,176,CS20260131_SCLU_176,#de9ed6,427_L6b CTX Glut_2_6,427_L6b CTX Glut_2
427_L6b CTX Glut_2_7,subcluster,177,CS20260131_SCLU_177,#3182bd,427_L6b CTX Glut_2_7,427_L6b CTX Glut_2
427_L6b CTX Glut_2_8,subcluster,178,CS20260131_SCLU_178,#6baed6,427_L6b CTX Glut_2_8,427_L6b CTX Glut_2
427_L6b CTX Glut_2_9,subcluster,179,CS20260131_SCLU_179,#9ecae1,427_L6b CTX Glut_2_9,427_L6b CTX Glut_2
428_L6b CTX Glut_2_1,subcluster,180,CS20260131_SCLU_180,#c6dbef,428_L6b CTX Glut_2_1,428_L6b CTX Glut_2
428_L6b CTX Glut_2_2,subcluster,181,CS20260131_SCLU_181,#e6550d,428_L6b CTX Glut_2_2,428_L6b CTX Glut_2
428_L6b CTX Glut_2_3,subcluster,182,CS20260131_SCLU_182,#fd8d3c,428_L6b CTX Glut_2_3,428_L6b CTX Glut_2
428_L6b CTX Glut_2_4,subcluster,183,CS20260131_SCLU_183,#fdae6b,428_L6b CTX Glut_2_4,428_L6b CTX Glut_2
428_L6b CTX Glut_2_5,subcluster,184,CS20260131_SCLU_184,#fdd0a2,428_L6b CTX Glut_2_5,428_L6b CTX Glut_2
428_L6b CTX Glut_2_6,subcluster,185,CS20260131_SCLU_185,#31a354,428_L6b CTX Glut_2_6,428_L6b CTX Glut_2
428_L6b CTX Glut_2_7,subcluster,186,CS20260131_SCLU_186,#74c476,428_L6b CTX Glut_2_7,428_L6b CTX Glut_2
428_L6b CTX Glut_2_8,subcluster,187,CS20260131_SCLU_187,#a1d99b,428_L6b CTX Glut_2_8,428_L6b CTX Glut_2
428_L6b CTX Glut_2_9,subcluster,188,CS20260131_SCLU_188,#c7e9c0,428_L6b CTX Glut_2_9,428_L6b CTX Glut_2
428_L6b CTX Glut_2_10,subcluster,189,CS20260131_SCLU_189,#756bb1,428_L6b CTX Glut_2_10,428_L6b CTX Glut_2
437_L6 CT CTX Glut_1_1,subcluster,190,CS20260131_SCLU_190,#9e9ac8,437_L6 CT CTX Glut_1_1,437_L6 CT CTX Glut_1
437_L6 CT CTX Glut_1_2,subcluster,191,CS20260131_SCLU_191,#bcbddc,437_L6 CT CTX Glut_1_2,437_L6 CT CTX Glut_1
437_L6 CT CTX Glut_1_3,subcluster,192,CS20260131_SCLU_192,#dadaeb,437_L6 CT CTX Glut_1_3,437_L6 CT CTX Glut_1
437_L6 CT CTX Glut_1_4,subcluster,193,CS20260131_SCLU_193,#636363,437_L6 CT CTX Glut_1_4,437_L6 CT CTX Glut_1
437_L6 CT CTX Glut_1_5,subcluster,194,CS20260131_SCLU_194,#969696,437_L6 CT CTX Glut_1_5,437_L6 CT CTX Glut_1
437_L6 CT CTX Glut_1_6,subcluster,195,CS20260131_SCLU_195,#bdbdbd,437_L6 CT CTX Glut_1_6,437_L6 CT CTX Glut_1
437_L6 CT CTX Glut_1_7,subcluster,196,CS20260131_SCLU_196,#d9d9d9,437_L6 CT CTX Glut_1_7,437_L6 CT CTX Glut_1
437_L6 CT CTX Glut_1_8,subcluster,197,CS20260131_SCLU_197,#393b79,437_L6 CT CTX Glut_1_8,437_L6 CT CTX Glut_1
437_L6 CT CTX Glut_1_9,subcluster,198,CS20260131_SCLU_198,#5254a3,437_L6 CT CTX Glut_1_9,437_L6 CT CTX Glut_1
437_L6 CT CTX Glut_1_10,subcluster,199,CS20260131_SCLU_199,#6b6ecf,437_L6 CT CTX Glut_1_10,437_L6 CT CTX Glut_1
437_L6 CT CTX Glut_1_11,subcluster,200,CS20260131_SCLU_200,#9c9ede,437_L6 CT CTX Glut_1_11,437_L6 CT CTX Glut_1
437_L6 CT CTX Glut_1_12,subcluster,201,CS20260131_SCLU_201,#637939,437_L6 CT CTX Glut_1_12,437_L6 CT CTX Glut_1
437_L6 CT CTX Glut_1_13,subcluster,202,CS20260131_SCLU_202,#8ca252,437_L6 CT CTX Glut_1_13,437_L6 CT CTX Glut_1
437_L6 CT CTX Glut_1_14,subcluster,203,CS20260131_SCLU_203,#b5cf6b,437_L6 CT CTX Glut_1_14,437_L6 CT CTX Glut_1
437_L6 CT CTX Glut_1_15,subcluster,204,CS20260131_SCLU_204,#cedb9c,437_L6 CT CTX Glut_1_15,437_L6 CT CTX Glut_1
437_L6 CT CTX Glut_1_16,subcluster,205,CS20260131_SCLU_205,#8c6d31,437_L6 CT CTX Glut_1_16,437_L6 CT CTX Glut_1
439_L6 CT CTX Glut_1_1,subcluster,206,CS20260131_SCLU_206,#bd9e39,439_L6 CT CTX Glut_1_1,439_L6 CT CTX Glut_1
439_L6 CT CTX Glut_1_2,subcluster,207,CS20260131_SCLU_207,#e7ba52,439_L6 CT CTX Glut_1_2,439_L6 CT CTX Glut_1
439_L6 CT CTX Glut_1_3,subcluster,208,CS20260131_SCLU_208,#e7cb94,439_L6 CT CTX Glut_1_3,439_L6 CT CTX Glut_1
439_L6 CT CTX Glut_1_4,subcluster,209,CS20260131_SCLU_209,#843c39,439_L6 CT CTX Glut_1_4,439_L6 CT CTX Glut_1
439_L6 CT CTX Glut_1_5,subcluster,210,CS20260131_SCLU_210,#ad494a,439_L6 CT CTX Glut_1_5,439_L6 CT CTX Glut_1
439_L6 CT CTX Glut_1_6,subcluster,211,CS20260131_SCLU_211,#d6616b,439_L6 CT CTX Glut_1_6,439_L6 CT CTX Glut_1
439_L6 CT CTX Glut_1_7,subcluster,212,CS20260131_SCLU_212,#e7969c,439_L6 CT CTX Glut_1_7,439_L6 CT CTX Glut_1
439_L6 CT CTX Glut_1_8,subcluster,213,CS20260131_SCLU_213,#7b4173,439_L6 CT CTX Glut_1_8,439_L6 CT CTX Glut_1
439_L6 CT CTX Glut_1_9,subcluster,214,CS20260131_SCLU_214,#a55194,439_L6 CT CTX Glut_1_9,439_L6 CT CTX Glut_1
439_L6 CT CTX Glut_1_10,subcluster,215,CS20260131_SCLU_215,#ce6dbd,439_L6 CT CTX Glut_1_10,439_L6 CT CTX Glut_1
439_L6 CT CTX Glut_1_11,subcluster,216,CS20260131_SCLU_216,#de9ed6,439_L6 CT CTX Glut_1_11,439_L6 CT CTX Glut_1
439_L6 CT CTX Glut_1_12,subcluster,217,CS20260131_SCLU_217,#3182bd,439_L6 CT CTX Glut_1_12,439_L6 CT CTX Glut_1
439_L6 CT CTX Glut_1_13,subcluster,218,CS20260131_SCLU_218,#6baed6,439_L6 CT CTX Glut_1_13,439_L6 CT CTX Glut_1
439_L6 CT CTX Glut_1_14,subcluster,219,CS20260131_SCLU_219,#9ecae1,439_L6 CT CTX Glut_1_14,439_L6 CT CTX Glut_1
440_L6 CT CTX Glut_1_1,subcluster,220,CS20260131_SCLU_220,#c6dbef,440_L6 CT CTX Glut_1_1,440_L6 CT CTX Glut_1
440_L6 CT CTX Glut_1_2,subcluster,221,CS20260131_SCLU_221,#e6550d,440_L6 CT CTX Glut_1_2,440_L6 CT CTX Glut_1
440_L6 CT CTX Glut_1_3,subcluster,222,CS20260131_SCLU_222,#fd8d3c,440_L6 CT CTX Glut_1_3,440_L6 CT CTX Glut_1
440_L6 CT CTX Glut_1_4,subcluster,223,CS20260131_SCLU_223,#fdae6b,440_L6 CT CTX Glut_1_4,440_L6 CT CTX Glut_1
440_L6 CT CTX Glut_1_5,subcluster,224,CS20260131_SCLU_224,#fdd0a2,440_L6 CT CTX Glut_1_5,440_L6 CT CTX Glut_1
440_L6 CT CTX Glut_1_6,subcluster,225,CS20260131_SCLU_225,#31a354,440_L6 CT CTX Glut_1_6,440_L6 CT CTX Glut_1
440_L6 CT CTX Glut_1_7,subcluster,226,CS20260131_SCLU_226,#74c476,440_L6 CT CTX Glut_1_7,440_L6 CT CTX Glut_1
440_L6 CT CTX Glut_1_8,subcluster,227,CS20260131_SCLU_227,#a1d99b,440_L6 CT CTX Glut_1_8,440_L6 CT CTX Glut_1
440_L6 CT CTX Glut_1_9,subcluster,228,CS20260131_SCLU_228,#c7e9c0,440_L6 CT CTX Glut_1_9,440_L6 CT CTX Glut_1
440_L6 CT CTX Glut_1_10,subcluster,229,CS20260131_SCLU_229,#756bb1,440_L6 CT CTX Glut_1_10,440_L6 CT CTX Glut_1
440_L6 CT CTX Glut_1_11,subcluster,230,CS20260131_SCLU_230,#9e9ac8,440_L6 CT CTX Glut_1_11,440_L6 CT CTX Glut_1
440_L6 CT CTX Glut_1_12,subcluster,231,CS20260131_SCLU_231,#bcbddc,440_L6 CT CTX Glut_1_12,440_L6 CT CTX Glut_1
440_L6 CT CTX Glut_1_13,subcluster,232,CS20260131_SCLU_232,#dadaeb,440_L6 CT CTX Glut_1_13,440_L6 CT CTX Glut_1
440_L6 CT CTX Glut_1_14,subcluster,233,CS20260131_SCLU_233,#636363,440_L6 CT CTX Glut_1_14,440_L6 CT CTX Glut_1
440_L6 CT CTX Glut_1_15,subcluster,234,CS20260131_SCLU_234,#969696,440_L6 CT CTX Glut_1_15,440_L6 CT CTX Glut_1
466_L5 NP CTX Glut_2_1,subcluster,235,CS20260131_SCLU_235,#bdbdbd,466_L5 NP CTX Glut_2_1,466_L5 NP CTX Glut_2
466_L5 NP CTX Glut_2_2,subcluster,236,CS20260131_SCLU_236,#d9d9d9,466_L5 NP CTX Glut_2_2,466_L5 NP CTX Glut_2
466_L5 NP CTX Glut_2_3,subcluster,237,CS20260131_SCLU_237,#393b79,466_L5 NP CTX Glut_2_3,466_L5 NP CTX Glut_2
466_L5 NP CTX Glut_2_4,subcluster,238,CS20260131_SCLU_238,#5254a3,466_L5 NP CTX Glut_2_4,466_L5 NP CTX Glut_2
466_L5 NP CTX Glut_2_5,subcluster,239,CS20260131_SCLU_239,#6b6ecf,466_L5 NP CTX Glut_2_5,466_L5 NP CTX Glut_2
468_L5 NP CTX Glut_3_1,subcluster,240,CS20260131_SCLU_240,#9c9ede,468_L5 NP CTX Glut_3_1,468_L5 NP CTX Glut_3
468_L5 NP CTX Glut_3_2,subcluster,241,CS20260131_SCLU_241,#637939,468_L5 NP CTX Glut_3_2,468_L5 NP CTX Glut_3
468_L5 NP CTX Glut_3_3,subcluster,242,CS20260131_SCLU_242,#8ca252,468_L5 NP CTX Glut_3_3,468_L5 NP CTX Glut_3
468_L5 NP CTX Glut_3_4,subcluster,243,CS20260131_SCLU_243,#b5cf6b,468_L5 NP CTX Glut_3_4,468_L5 NP CTX Glut_3
468_L5 NP CTX Glut_3_5,subcluster,244,CS20260131_SCLU_244,#cedb9c,468_L5 NP CTX Glut_3_5,468_L5 NP CTX Glut_3
468_L5 NP CTX Glut_3_6,subcluster,245,CS20260131_SCLU_245,#8c6d31,468_L5 NP CTX Glut_3_6,468_L5 NP CTX Glut_3
468_L5 NP CTX Glut_3_7,subcluster,246,CS20260131_SCLU_246,#bd9e39,468_L5 NP CTX Glut_3_7,468_L5 NP CTX Glut_3
468_L5 NP CTX Glut_3_8,subcluster,247,CS20260131_SCLU_247,#e7ba52,468_L5 NP CTX Glut_3_8,468_L5 NP CTX Glut_3
468_L5 NP CTX Glut_3_9,subcluster,248,CS20260131_SCLU_248,#e7cb94,468_L5 NP CTX Glut_3_9,468_L5 NP CTX Glut_3
365_L5 ET CTX Glut_3_1,subcluster,249,CS20260131_SCLU_249,#756bb1,365_L5 ET CTX Glut_3_1,365_L5 ET CTX Glut_3
365_L5 ET CTX Glut_3_2,subcluster,250,CS20260131_SCLU_250,#9e9ac8,365_L5 ET CTX Glut_3_2,365_L5 ET CTX Glut_3
365_L5 ET CTX Glut_3_3,subcluster,251,CS20260131_SCLU_251,#bcbddc,365_L5 ET CTX Glut_3_3,365_L5 ET CTX Glut_3
365_L5 ET CTX Glut_3_4,subcluster,252,CS20260131_SCLU_252,#dadaeb,365_L5 ET CTX Glut_3_4,365_L5 ET CTX Glut_3
365_L5 ET CTX Glut_3_5,subcluster,253,CS20260131_SCLU_253,#636363,365_L5 ET CTX Glut_3_5,365_L5 ET CTX Glut_3
365_L5 ET CTX Glut_3_6,subcluster,254,CS20260131_SCLU_254,#969696,365_L5 ET CTX Glut_3_6,365_L5 ET CTX Glut_3
365_L5 ET CTX Glut_3_7,subcluster,255,CS20260131_SCLU_255,#bdbdbd,365_L5 ET CTX Glut_3_7,365_L5 ET CTX Glut_3
365_L5 ET CTX Glut_3_8,subcluster,256,CS20260131_SCLU_256,#d9d9d9,365_L5 ET CTX Glut_3_8,365_L5 ET CTX Glut_3
365_L5 ET CTX Glut_3_9,subcluster,257,CS20260131_SCLU_257,#393b79,365_L5 ET CTX Glut_3_9,365_L5 ET CTX Glut_3
365_L5 ET CTX Glut_3_10,subcluster,258,CS20260131_SCLU_258,#5254a3,365_L5 ET CTX Glut_3_10,365_L5 ET CTX Glut_3
365_L5 ET CTX Glut_3_11,subcluster,259,CS20260131_SCLU_259,#6b6ecf,365_L5 ET CTX Glut_3_11,365_L5 ET CTX Glut_3
365_L5 ET CTX Glut_3_12,subcluster,260,CS20260131_SCLU_260,#9c9ede,365_L5 ET CTX Glut_3_12,365_L5 ET CTX Glut_3
365_L5 ET CTX Glut_3_13,subcluster,261,CS20260131_SCLU_261,#637939,365_L5 ET CTX Glut_3_13,365_L5 ET CTX Glut_3
